Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	7	40	7-8	9.2667	24	105	-0.323	186	Terrestrial	151	30.43	30.9	27.62	21.47	13.73	3.27	10.09	5.9989	2	443	85	358	7.383333333	1.416666667	5.966666667
2019	7	40	7-8	9.2667	24	105	-0.323	186	Terrestrial	151	30.43	30.9	27.62	21.47	13.73	3.27	10.09	5.9989	3	52	48	4	0.866666667	0.8	0.066666667
2019	8	41	8-1	13.2592	30	60	-3.9148	245	Aquatic	214	42.76	41.59	39.2	33.12	20.28	2.44	11.94	16.0879	1	619	562	57	10.31666667	9.366666667	0.95
2019	8	41	8-1	13.2592	30	60	-3.9148	245	Aquatic	214	42.76	41.59	39.2	33.12	20.28	2.44	11.94	16.0879	2	960	938	22	16	15.63333333	0.366666667
2019	8	41	8-1	13.2592	30	60	-3.9148	245	Aquatic	214	42.76	41.59	39.2	33.12	20.28	2.44	11.94	16.0879	3	518	371	147	8.633333333	6.183333333	2.45
2019	8	42	8-2	12.7996	28	68	-3.2652	239	Aquatic	214	42.95	43.29	38.62	33.53	20.63	2.98	10.84	16.9936	1	616	479	137	10.26666667	7.983333333	2.283333333
2019	8	42	8-2	12.7996	28	68	-3.2652	239	Aquatic	214	42.95	43.29	38.62	33.53	20.63	2.98	10.84	16.9936	2	151	116	35	2.516666667	1.933333333	0.583333333
2019	8	42	8-2	12.7996	28	68	-3.2652	239	Aquatic	214	42.95	43.29	38.62	33.53	20.63	2.98	10.84	16.9936	3	109	107	2	1.816666667	1.783333333	0.033333333
2019	8	43	8-3	13.246	24	105	-3.0686	219	Terrestrial	151	34.51	36.88	32.14	28.91	16.66	2.49	11.94	7.9505	1	799	783	16	13.31666667	13.05	0.266666667
2019	8	43	8-3	13.246	24	105	-3.0686	219	Terrestrial	151	34.51	36.88	32.14	28.91	16.66	2.49	11.94	7.9505	2	NA	134	NA	NA	2.233333333	NA
